,Caption,np,judge
357,◡̈꙳カカオニブ×生胡椒スコーン。スコーンの種類多っ！カカオニブの歯応え、ピリッと辛味と生クリームの甘さ。胡椒と柑橘ジャムがまたNICE。#コーヒーハウスぽえむ#スコーン#スコーンあつめ#スコーンあつめ2021#scone#カカオニブ生胡椒スコーン#ルイボスティー#幡ヶ谷カフェ#幡ヶ谷喫茶店#幡ヶ谷スコーン#コーヒーハウスぽえむ0129,-0.5381092142857142,n
170,昨日まで開催しておりました「紅茶のティーストアーで焼きまんじゅう展」にて、限定メニューとしてご提供していました焼きまんじゅうメニューを引き続き販売する事になりました。これからの紅茶スタンドは紅茶と焼きまんじゅうをメインに運営させていただきます。どうぞご利用くださいませ。#あおねこの紅茶 #紅茶のティーストアー #ティーストアー #紅茶 #台湾茶 #ルイボスティー #お茶 #茶 #ルイボスティー #紅茶スタンド #ティースタンド #ティータイム #お茶の時間 #焼きまんじゅう #たなかや焼饅頭店 #ソールフード #フードペアリング #まんじゅう #おやつ #おやつ時間 #紅茶店 #紅茶屋 #暮らしの紅茶研究家 #前橋土産 #前橋カフェ #前橋 #カフェ #癒し,-0.5355880526315788,n
1126,最近の空き時間はみなさんに教えて頂いた本や論文を読みながら機能解剖を勉強中をしています📝ブレイクにはルイボスティー🫖✨大好きで毎日飲んでたのにもうすぐなくなってしまう🥺今年花粉症がほとんど出なかったのは、もしかしてこのお陰？とリピートしようか考え中🌸とにかく味が美味しくて、安全に飲めるルイボスティーなのでぜひお試しあれ☺️#乱筆ですみません 🖋#エルバランシア #lbalancia #ルイボスティー #オーガニック #ノンカフェイン #エイジングケア #妊活 #免疫力up #免疫力アップ #免疫力を高める #pr_bangle,-0.5339456318181818,n
1468,今日は電子レンジで作るガトーショコラを作りました💁材料を混ぜて…レンチン…トータル５分で出来ちゃいました😳#ガトーショコラ#電子レンジ#簡単におやつ#おやつ作り#チャレンジ中#いちご#ルイボスティー#お花#ポーリッシュポタリー#甘さ控えめ#チョコレート,-0.5336939090909091,n
1353,.﻿﻿オーガニックルイボスティー 🫖🍂﻿飲む頻度は少ないけど 念のためストックする 🧏🏻‍♂️﻿ノンカフェインでおすすめの飲み物 𓂃﻿﻿﻿,-0.5322053999999999,n
199,ふたりで３つ🐷👩🍰🍰🍰リュールさん独特の形の#タルト に新作があったので、思わず…！（ついこの形のに惹かれちゃうなぁ）・💚#よもぎと抹茶のモンブランタルト❤️#レモンとベリーのタルト💛#季節のフルーツタルト （キウイ、パイナップル、ぶどう、ブルーベリー）・はからずも赤黄緑と三色彩りあざやか。タルトのトップはもちろん焼き込みクリーム生地の味も全部異なり、どれもおいしくて、ペロリといただけちゃいました。・#リュール#カフェ巡り#祐天寺#カフェ#祐天寺カフェ#祐天寺ケーキ#torseの姉妹店#フルーツタルト#柿の葉とローズのグリーンルイボス茶#ルイボスティー#yutenji#lueur#まだ予約制続きそうだったらまた行きたいなぁ#このあと池尻大橋パン屋巡りしました👣,-0.5320554000000002,n
1333,The small tea party at Kohachi's house.#ルイボスティー#rooibostea #バレンタイン#stvalentinesday#チョコレート#chocolate#ミニチュア#miniature#ドールハウス#dollhouse #ぬいぐるみ#ぬい撮り,-0.5315920000000001,n
115,..  ◆赤米入りごはん◆大根の葉と生姜の塩もみ◆豚ばらとキムチの炒めと蒸し大根◆大根のピクルス◆お味噌汁◆温かいルイボス茶　　　昨日、農家さんの庭先で大きな紫大根を1本購入したので新鮮なうちに使い切り用に下ごしらえと作り置き。今の時期の大根の葉はかなり厚く固くなっているので、私は7〜8割くらい落として茎をメインに使います。火を通さず生で使いたい時には必ず少しの塩をして揉んで水気を絞って青臭みを和らげるのと同時に、小口切りにしておいてほんのり下味をつけておくことで使い回しがしやすいこともポイント◎　紫大根に限っては長く加熱調理するとどうしても灰色がかった色になり、見た目が残念な感じになってしまうので、サッと蒸しておいて炒めものには火を止めてから合わせたり、煮物ならこれに温かい餡をプラスしたり。　　　こんなにいろいろ楽しめるのに一本100円だなんて申し訳ないくらい尊いな。　　　例え100円であっても失敗したなと思う買い物するとすごくがっかりするし、結果的に無駄にしてしまうと高いなと感じる。特に食品に関しては絶対的に私の管理区域なので、失敗したくないしお金も食べ物も無駄にしたくない。少なからず皆さんもそうだと思います◎成功や失敗を繰り返しながら見極める目を養いつつバリエーションを増やして美味しく無駄なく食べ尽くしたい、そんな気持ちも常々保ち続けています。　　近場に移動するのにだって交通費もかかることを考えれば、送料がプラスになることも決して高いとは思わないからお取り寄せもします。いろいろひっくるめて、これは良いわぁ、おすすめだわぁ　と思ったら【おすすめ♡】としてご紹介したり。逆に、言葉にし難い時ももちろんあるのでこのひと紹介してたのに〜！なんて事がないよう、あたしの場合はどんなものでもこのひとことがあるかないかが基準(↑お察しください😂❤️笑)　　　　　#朝ごはん　#朝食　#食事　#野菜　#食卓　#美味しいもの　#ごはん　#お味噌汁　#和食　#和食ごはん　#キムチ　#自家製　#保存食　#作り置き　#作り置きおかず　#腸活　#てづくりごはん365 #豊かな食卓 #家庭料理　#料理　#発酵食品 #お茶　#ルイボスティー #美肌レシピ #うちごはん　#おうちごはん　#献立　#大根　#野菜好き　#野菜たっぷり,-0.5286192036036036,n
1313,仕事後、夜タリーズ 。名前忘れたけど美味しかったです。疲れていたので優しい甘さがちょうど良く感じました。#タリーズ #タリーズコーヒー #tullys #tullyscoffee #夜カフェ #夜タリーズ #ルイボスロイヤルミルクティーハニージンジャー #ルイボスティー #ロイヤルミルクティー #ハニージンジャー,-0.5253982857142857,n
147,❤︎受診日❤︎昨日は3ヶ月に1度のバセドウ病の検診に行って来ました🏥前回2月の受診時に「数値が落ち着いているので、5月の数値を見て休薬しましょう」と言われていたので、ワクワクしながら行ってきました🚙検査結果は範囲内で落ち着いていました😊🙌が…「コロナウィルスが猛威を振るう中、休薬してしまい免疫が下がり、コロナに感染してしまうと大変なので、このまま薬は続けましょう…コロナウィルスに感染した場合、受け入れは出来ますのですぐに受診してください」との事…😭今回はバセドウ病の話よりコロナに感染した時の説明がメインでした😞と言う訳で、メルカゾール隔日1錠チラージン毎日1錠を続けて飲む事になりました💊病院は暖房がかかっていて、気分が悪くなる位暑く、ちょうどテラス席が空いていたので、待ち時間は外でのんびり過ごしました☺️今回暑さ対策として小さめの保冷剤を持参して行きましたが、正解でした🥰#バセドウ病治療方法 #バセドウ病検査 #数値安定 #コロナ対策 #病院暑い #保冷剤持って行ってよかった #メルカゾール #チラージン #doutorcoffee #ルイボスティー,-0.525334290909091,n
